,atm_name,weekday,festival_religion,working_day,holiday_sequence,trans_date_set,trans_month,trans_year,prevweek_mean,total_amount_withdrawn
271,Mount Road ATM,THURSDAY,NH,W,WWW,5,2,2011,444729.0,391600
276,Mount Road ATM,FRIDAY,NH,W,WWH,5,2,2011,444729.0,339300
281,Mount Road ATM,SATURDAY,NH,H,WHH,6,2,2011,444729.0,470600
286,Mount Road ATM,SUNDAY,NH,H,HHW,6,2,2011,444729.0,8100
291,Mount Road ATM,MONDAY,NH,W,HWW,6,2,2011,360700.0,572800
296,Mount Road ATM,TUESDAY,NH,W,WWW,1,3,2011,360700.0,730000
301,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,3,2011,360700.0,610800
306,Mount Road ATM,THURSDAY,H,W,WWW,1,3,2011,360700.0,766800
311,Mount Road ATM,FRIDAY,NH,W,WWH,1,3,2011,360700.0,738900
316,Mount Road ATM,SATURDAY,NH,H,WHH,1,3,2011,360700.0,1005600
321,Mount Road ATM,SUNDAY,NH,H,HHW,2,3,2011,360700.0,668600
326,Mount Road ATM,MONDAY,NH,W,HWW,2,3,2011,727643.0,644900
331,Mount Road ATM,TUESDAY,NH,W,WWW,2,3,2011,727643.0,950400
336,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,3,2011,727643.0,620900
341,Mount Road ATM,THURSDAY,NH,W,WWW,2,3,2011,727643.0,529900
346,Mount Road ATM,FRIDAY,NH,W,WWW,3,3,2011,727643.0,441100
351,Mount Road ATM,SATURDAY,NH,H,WHH,3,3,2011,727643.0,502900
356,Mount Road ATM,SUNDAY,NH,H,HHW,3,3,2011,727643.0,301800
361,Mount Road ATM,MONDAY,NH,W,HWW,3,3,2011,570272.0,566800
366,Mount Road ATM,TUESDAY,NH,W,WWW,3,3,2011,570272.0,513000
371,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,3,2011,570272.0,525600
376,Mount Road ATM,THURSDAY,NH,W,WWW,4,3,2011,570272.0,395500
381,Mount Road ATM,FRIDAY,NH,W,WWH,4,3,2011,570272.0,533600
386,Mount Road ATM,SATURDAY,NH,H,WHH,4,3,2011,570272.0,544000
391,Mount Road ATM,SUNDAY,H,H,HHW,4,3,2011,570272.0,395200
396,Mount Road ATM,MONDAY,NH,W,HWW,5,3,2011,496243.0,336000
401,Mount Road ATM,TUESDAY,NH,W,WWW,5,3,2011,496243.0,288500
406,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,3,2011,496243.0,465300
411,Mount Road ATM,THURSDAY,NH,W,WWW,5,3,2011,496243.0,365900
416,Mount Road ATM,FRIDAY,NH,W,WWH,5,3,2011,496243.0,390200
421,Mount Road ATM,SATURDAY,NH,H,WHH,6,3,2011,496243.0,320500
426,Mount Road ATM,SUNDAY,NH,H,HHW,6,3,2011,496243.0,332700
431,Mount Road ATM,MONDAY,NH,W,HWW,6,3,2011,357015.0,410200
436,Mount Road ATM,TUESDAY,NH,W,WWW,6,3,2011,357015.0,538800
441,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,3,2011,357015.0,475100
446,Mount Road ATM,THURSDAY,NH,W,WWW,7,3,2011,357015.0,456500
451,Mount Road ATM,FRIDAY,NH,W,WWH,1,4,2011,357015.0,464800
456,Mount Road ATM,SATURDAY,NH,H,WHH,1,4,2011,357015.0,776400
461,Mount Road ATM,SUNDAY,NH,H,HHW,1,4,2011,357015.0,445500
466,Mount Road ATM,MONDAY,H,W,HWW,1,4,2011,509615.0,608500
471,Mount Road ATM,TUESDAY,NH,W,WWW,1,4,2011,509615.0,734200
476,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,4,2011,509615.0,638500
481,Mount Road ATM,THURSDAY,NH,W,WWW,2,4,2011,509615.0,688000
486,Mount Road ATM,FRIDAY,NH,W,WWH,2,4,2011,509615.0,774300
491,Mount Road ATM,SATURDAY,NH,H,WHH,2,4,2011,509615.0,602200
496,Mount Road ATM,SUNDAY,NH,H,HHW,2,4,2011,509615.0,442300
501,Mount Road ATM,MONDAY,NH,W,HWH,3,4,2011,641143.0,679100
506,Mount Road ATM,TUESDAY,H,H,WHW,3,4,2011,641143.0,559200
511,Mount Road ATM,WEDNESDAY,NH,W,HWH,3,4,2011,641143.0,362400
516,Mount Road ATM,THURSDAY,N,H,WHW,3,4,2011,641143.0,288700
521,Mount Road ATM,FRIDAY,NH,W,HWH,3,4,2011,641143.0,508300
526,Mount Road ATM,SATURDAY,H,H,WHH,4,4,2011,641143.0,515400
531,Mount Road ATM,SUNDAY,NH,H,HHW,4,4,2011,641143.0,538600
536,Mount Road ATM,MONDAY,NH,W,HWW,4,4,2011,493100.0,430500
541,Mount Road ATM,TUESDAY,NH,W,WWW,4,4,2011,493100.0,673500
546,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,4,2011,493100.0,530100
551,Mount Road ATM,THURSDAY,NH,W,WWH,5,4,2011,493100.0,361600
556,Mount Road ATM,FRIDAY,C,H,WHH,5,4,2011,493100.0,397800
561,Mount Road ATM,SATURDAY,NH,H,HHH,5,4,2011,493100.0,552300
566,Mount Road ATM,SUNDAY,NH,H,HHW,5,4,2011,493100.0,278300
571,Mount Road ATM,MONDAY,NH,W,HWW,5,4,2011,460586.0,251700
576,Mount Road ATM,TUESDAY,NH,W,WWW,6,4,2011,460586.0,336900
581,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,4,2011,460586.0,402200
586,Mount Road ATM,THURSDAY,NH,W,WWW,6,4,2011,460586.0,354000
591,Mount Road ATM,FRIDAY,NH,W,WWH,6,4,2011,460586.0,382500
596,Mount Road ATM,SATURDAY,NH,H,WHH,6,4,2011,460586.0,813600
601,Mount Road ATM,SUNDAY,N,H,HHW,1,5,2011,460586.0,636000
606,Mount Road ATM,MONDAY,NH,W,HWW,1,5,2011,453843.0,361600
611,Mount Road ATM,TUESDAY,NH,W,WWW,1,5,2011,453843.0,891100
616,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,5,2011,453843.0,524100
621,Mount Road ATM,THURSDAY,NH,W,WWW,1,5,2011,453843.0,730500
626,Mount Road ATM,FRIDAY,NH,W,WWH,2,5,2011,453843.0,653900
631,Mount Road ATM,SATURDAY,NH,H,WHH,2,5,2011,453843.0,709400
636,Mount Road ATM,SUNDAY,NH,H,HHW,2,5,2011,453843.0,526600
641,Mount Road ATM,MONDAY,NH,W,HWW,2,5,2011,628172.0,495800
646,Mount Road ATM,TUESDAY,NH,W,WWW,2,5,2011,628172.0,660600
651,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,5,2011,628172.0,789100
656,Mount Road ATM,THURSDAY,NH,W,WWW,3,5,2011,628172.0,515700
661,Mount Road ATM,FRIDAY,NH,W,WWH,3,5,2011,628172.0,608700
666,Mount Road ATM,SATURDAY,NH,H,WHH,3,5,2011,628172.0,682300
671,Mount Road ATM,SUNDAY,NH,H,HHW,3,5,2011,628172.0,393900
676,Mount Road ATM,MONDAY,NH,W,HWH,4,5,2011,592300.0,374900
681,Mount Road ATM,TUESDAY,H,H,WHW,4,5,2011,592300.0,549400
686,Mount Road ATM,WEDNESDAY,NH,W,HWW,4,5,2011,592300.0,546100
691,Mount Road ATM,THURSDAY,NH,W,WWW,4,5,2011,592300.0,659900
696,Mount Road ATM,FRIDAY,NH,W,WWH,4,5,2011,592300.0,505600
701,Mount Road ATM,SATURDAY,NH,H,WHH,5,5,2011,592300.0,588700
706,Mount Road ATM,SUNDAY,NH,H,HHW,5,5,2011,592300.0,347400
711,Mount Road ATM,MONDAY,NH,W,HWW,5,5,2011,510286.0,880700
716,Mount Road ATM,TUESDAY,NH,W,WWW,5,5,2011,510286.0,528200
721,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,5,2011,510286.0,547900
726,Mount Road ATM,THURSDAY,NH,W,WWW,6,5,2011,510286.0,754400
731,Mount Road ATM,FRIDAY,NH,W,WWH,6,5,2011,510286.0,737800
736,Mount Road ATM,SATURDAY,NH,H,WHH,6,5,2011,510286.0,521600
741,Mount Road ATM,SUNDAY,NH,H,HHW,6,5,2011,510286.0,385100
746,Mount Road ATM,MONDAY,NH,W,HWW,6,5,2011,622243.0,532000
751,Mount Road ATM,TUESDAY,NH,W,WWW,7,5,2011,622243.0,441800
756,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,6,2011,622243.0,831200
761,Mount Road ATM,THURSDAY,NH,W,WWW,1,6,2011,622243.0,717900
766,Mount Road ATM,FRIDAY,NH,W,WWH,1,6,2011,622243.0,742800
771,Mount Road ATM,SATURDAY,NH,H,WHH,1,6,2011,622243.0,759200
776,Mount Road ATM,SUNDAY,NH,H,HHW,1,6,2011,622243.0,168500
781,Mount Road ATM,MONDAY,NH,W,HWW,2,6,2011,599058.0,405800
786,Mount Road ATM,TUESDAY,NH,W,WWW,2,6,2011,599058.0,739700
791,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,6,2011,599058.0,868800
796,Mount Road ATM,THURSDAY,NH,W,WWW,2,6,2011,599058.0,686000
801,Mount Road ATM,FRIDAY,NH,W,WWH,2,6,2011,599058.0,615800
806,Mount Road ATM,SATURDAY,NH,H,WHH,3,6,2011,599058.0,635200
811,Mount Road ATM,SUNDAY,NH,H,HHW,3,6,2011,599058.0,417900
816,Mount Road ATM,MONDAY,NH,W,HWW,3,6,2011,624172.0,589700
821,Mount Road ATM,TUESDAY,NH,W,WWW,3,6,2011,624172.0,592600
826,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,6,2011,624172.0,550600
831,Mount Road ATM,THURSDAY,NH,W,WWW,4,6,2011,624172.0,499700
836,Mount Road ATM,FRIDAY,NH,W,WWH,4,6,2011,624172.0,486400
841,Mount Road ATM,SATURDAY,NH,H,WHH,4,6,2011,624172.0,656800
846,Mount Road ATM,SUNDAY,NH,H,HHW,4,6,2011,624172.0,474400
851,Mount Road ATM,MONDAY,NH,W,HWW,4,6,2011,550029.0,674500
856,Mount Road ATM,TUESDAY,NH,W,WWW,5,6,2011,550029.0,303200
861,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,6,2011,550029.0,454400
866,Mount Road ATM,THURSDAY,NH,W,WWW,5,6,2011,550029.0,392300
871,Mount Road ATM,FRIDAY,NH,W,WWH,5,6,2011,550029.0,574000
876,Mount Road ATM,SATURDAY,NH,H,WHH,5,6,2011,550029.0,486600
881,Mount Road ATM,SUNDAY,NH,H,HHW,6,6,2011,550029.0,529000
886,Mount Road ATM,MONDAY,NH,W,HWW,6,6,2011,487715.0,642300
891,Mount Road ATM,TUESDAY,NH,W,WWW,6,6,2011,487715.0,402000
896,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,6,2011,487715.0,473000
901,Mount Road ATM,THURSDAY,NH,W,WWW,6,6,2011,487715.0,483300
906,Mount Road ATM,FRIDAY,NH,W,WWH,1,7,2011,487715.0,605000
911,Mount Road ATM,SATURDAY,NH,H,WHH,1,7,2011,487715.0,856500
916,Mount Road ATM,SUNDAY,NH,H,HHW,1,7,2011,487715.0,668800
921,Mount Road ATM,MONDAY,NH,W,HWW,1,7,2011,590129.0,1049600
926,Mount Road ATM,TUESDAY,NH,W,WWW,1,7,2011,590129.0,649000
931,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,7,2011,590129.0,907400
936,Mount Road ATM,THURSDAY,NH,W,WWW,2,7,2011,590129.0,435200
941,Mount Road ATM,FRIDAY,NH,W,WWW,2,7,2011,590129.0,735000
946,Mount Road ATM,SATURDAY,NH,H,WHH,2,7,2011,590129.0,738500
951,Mount Road ATM,SUNDAY,NH,H,HHW,2,7,2011,590129.0,349100
956,Mount Road ATM,MONDAY,NH,W,HWW,3,7,2011,694829.0,612400
961,Mount Road ATM,TUESDAY,NH,W,WWW,3,7,2011,694829.0,558600
966,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,7,2011,694829.0,684500
971,Mount Road ATM,THURSDAY,NH,W,WWW,3,7,2011,694829.0,392400
976,Mount Road ATM,FRIDAY,NH,W,WWH,3,7,2011,694829.0,442300
981,Mount Road ATM,SATURDAY,NH,H,WHH,4,7,2011,694829.0,450000
986,Mount Road ATM,SUNDAY,NH,H,HHW,4,7,2011,694829.0,308200
991,Mount Road ATM,MONDAY,NH,W,HWW,4,7,2011,492629.0,436900
996,Mount Road ATM,TUESDAY,NH,W,WWW,4,7,2011,492629.0,390900
1001,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,7,2011,492629.0,474300
1006,Mount Road ATM,THURSDAY,NH,W,WWW,5,7,2011,492629.0,570300
1011,Mount Road ATM,FRIDAY,NH,W,WWH,5,7,2011,492629.0,775300
1016,Mount Road ATM,SATURDAY,NH,H,WHH,5,7,2011,492629.0,555100
1021,Mount Road ATM,SUNDAY,NH,H,HHW,5,7,2011,492629.0,610200
1026,Mount Road ATM,MONDAY,NH,W,HWW,5,7,2011,544715.0,725900
1031,Mount Road ATM,TUESDAY,NH,W,WWW,6,7,2011,544715.0,323600
1036,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,7,2011,544715.0,522800
1041,Mount Road ATM,THURSDAY,NH,W,WWW,6,7,2011,544715.0,311900
1046,Mount Road ATM,FRIDAY,NH,W,WWH,6,7,2011,544715.0,472800
1051,Mount Road ATM,SATURDAY,NH,H,WHH,6,7,2011,544715.0,610700
1056,Mount Road ATM,SUNDAY,NH,H,HHW,7,7,2011,544715.0,588400
1061,Mount Road ATM,MONDAY,NH,W,HWW,1,8,2011,508015.0,1048100
1066,Mount Road ATM,TUESDAY,NH,W,WWW,1,8,2011,508015.0,673500
1071,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,8,2011,508015.0,755200
1076,Mount Road ATM,THURSDAY,NH,W,WWW,1,8,2011,508015.0,571600
1081,Mount Road ATM,FRIDAY,NH,W,WWH,1,8,2011,508015.0,602700
1086,Mount Road ATM,SATURDAY,NH,H,WHH,2,8,2011,508015.0,843200
1091,Mount Road ATM,SUNDAY,NH,H,HHW,2,8,2011,508015.0,753600
1096,Mount Road ATM,MONDAY,NH,W,HWW,2,8,2011,749700.0,827700
1101,Mount Road ATM,TUESDAY,NH,W,WWW,2,8,2011,749700.0,644800
1106,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,8,2011,749700.0,570900
1111,Mount Road ATM,THURSDAY,NH,W,WWW,3,8,2011,749700.0,555600
1116,Mount Road ATM,FRIDAY,NH,W,WWH,3,8,2011,749700.0,544000
1121,Mount Road ATM,SATURDAY,NH,H,WHH,3,8,2011,749700.0,711900
1126,Mount Road ATM,SUNDAY,NH,H,HHH,3,8,2011,749700.0,485200
1131,Mount Road ATM,MONDAY,N,H,HHW,3,8,2011,620015.0,372200
1136,Mount Road ATM,TUESDAY,NH,W,HWW,4,8,2011,620015.0,749100
1141,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,8,2011,620015.0,648400
1146,Mount Road ATM,THURSDAY,NH,W,WWW,4,8,2011,620015.0,527300
1151,Mount Road ATM,FRIDAY,NH,W,WWH,4,8,2011,620015.0,582300
1156,Mount Road ATM,SATURDAY,NH,H,WHH,4,8,2011,620015.0,751400
1161,Mount Road ATM,SUNDAY,H,H,HHW,5,8,2011,620015.0,316300
1166,Mount Road ATM,MONDAY,NH,W,HWW,5,8,2011,563858.0,409000
1171,Mount Road ATM,TUESDAY,NH,W,WWW,5,8,2011,563858.0,443000
1176,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,8,2011,563858.0,442000
1181,Mount Road ATM,THURSDAY,NH,W,WWW,5,8,2011,563858.0,511900
1186,Mount Road ATM,FRIDAY,NH,W,WWH,6,8,2011,563858.0,551700
1191,Mount Road ATM,SATURDAY,NH,H,WHH,6,8,2011,563858.0,729300
1196,Mount Road ATM,SUNDAY,NH,H,HHW,6,8,2011,563858.0,547300
1201,Mount Road ATM,MONDAY,NH,W,HWW,6,8,2011,519172.0,444400
1206,Mount Road ATM,TUESDAY,NH,W,WHH,6,8,2011,519172.0,507600
1211,Mount Road ATM,WEDNESDAY,M,H,WHH,7,8,2011,519172.0,465400
1216,Mount Road ATM,THURSDAY,H,H,HHW,1,9,2011,519172.0,315600
1221,Mount Road ATM,FRIDAY,NH,W,HWH,1,9,2011,519172.0,663600
1226,Mount Road ATM,SATURDAY,NH,H,WHH,1,9,2011,519172.0,733800
1231,Mount Road ATM,SUNDAY,NH,H,HHW,1,9,2011,519172.0,397100
1236,Mount Road ATM,MONDAY,NH,W,HWW,1,9,2011,503929.0,828100
1241,Mount Road ATM,TUESDAY,NH,W,WWW,2,9,2011,503929.0,742700
1246,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,9,2011,503929.0,795000
1251,Mount Road ATM,THURSDAY,NH,W,WWW,2,9,2011,503929.0,640100
1256,Mount Road ATM,FRIDAY,NH,W,WWW,2,9,2011,503929.0,370600
1261,Mount Road ATM,SATURDAY,NH,H,WHH,2,9,2011,503929.0,444300
1266,Mount Road ATM,SUNDAY,NH,H,HHW,3,9,2011,503929.0,312900
1271,Mount Road ATM,MONDAY,NH,W,HWW,3,9,2011,590529.0,468800
1276,Mount Road ATM,TUESDAY,NH,W,WWW,3,9,2011,590529.0,429100
1281,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,9,2011,590529.0,299900
1286,Mount Road ATM,THURSDAY,NH,W,WWW,3,9,2011,590529.0,536400
1291,Mount Road ATM,FRIDAY,NH,W,WWH,4,9,2011,590529.0,400100
1296,Mount Road ATM,SATURDAY,NH,H,WHH,4,9,2011,590529.0,335800
1301,Mount Road ATM,SUNDAY,NH,H,HHW,4,9,2011,590529.0,296300
1306,Mount Road ATM,MONDAY,NH,W,HWW,4,9,2011,395200.0,616200
1311,Mount Road ATM,TUESDAY,NH,W,WWW,4,9,2011,395200.0,399000
1316,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,9,2011,395200.0,577900
1321,Mount Road ATM,THURSDAY,NH,W,WWW,5,9,2011,395200.0,357300
1326,Mount Road ATM,FRIDAY,NH,W,WWH,5,9,2011,395200.0,334100
1331,Mount Road ATM,SATURDAY,NH,H,WHH,5,9,2011,395200.0,612200
1336,Mount Road ATM,SUNDAY,NH,H,HHW,5,9,2011,395200.0,384300
1341,Mount Road ATM,MONDAY,NH,W,HWW,6,9,2011,468715.0,384100
1346,Mount Road ATM,TUESDAY,NH,W,WWW,6,9,2011,468715.0,513500
1351,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,9,2011,468715.0,460200
1356,Mount Road ATM,THURSDAY,NH,W,WWW,6,9,2011,468715.0,494400
1361,Mount Road ATM,FRIDAY,NH,W,WWH,6,9,2011,468715.0,470400
1366,Mount Road ATM,SATURDAY,NH,H,WHH,1,10,2011,468715.0,788500
1371,Mount Road ATM,SUNDAY,N,H,HHW,1,10,2011,468715.0,759200
1376,Mount Road ATM,MONDAY,NH,W,HWW,1,10,2011,552900.0,339700
1381,Mount Road ATM,TUESDAY,NH,W,WWH,1,10,2011,552900.0,642400
1386,Mount Road ATM,WEDNESDAY,H,H,WHH,1,10,2011,552900.0,839900
1390,Mount Road ATM,THURSDAY,H,H,HHW,2,10,2011,552900.0,840200
1395,Mount Road ATM,FRIDAY,NH,W,WWH,2,10,2011,552900.0,392400
1400,Mount Road ATM,SATURDAY,NH,H,WHH,2,10,2011,552900.0,729600
1405,Mount Road ATM,SUNDAY,NH,H,HHW,2,10,2011,552900.0,486400
1410,Mount Road ATM,MONDAY,NH,W,HWW,2,10,2011,610086.0,662200
1415,Mount Road ATM,TUESDAY,NH,W,WWW,3,10,2011,610086.0,524300
1420,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,10,2011,610086.0,472600
1425,Mount Road ATM,THURSDAY,NH,W,WWW,3,10,2011,610086.0,459100
1430,Mount Road ATM,FRIDAY,NH,W,WWH,3,10,2011,610086.0,603100
1435,Mount Road ATM,SATURDAY,NH,H,WHH,3,10,2011,610086.0,591200
1440,Mount Road ATM,SUNDAY,NH,H,HHW,4,10,2011,610086.0,527900
1445,Mount Road ATM,MONDAY,NH,W,HWW,4,10,2011,548629.0,466600
1450,Mount Road ATM,TUESDAY,NH,W,WWW,4,10,2011,548629.0,595100
1455,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,10,2011,548629.0,621400
1460,Mount Road ATM,THURSDAY,NH,W,WWW,4,10,2011,548629.0,764600
1465,Mount Road ATM,FRIDAY,NH,W,WWH,5,10,2011,548629.0,954400
1470,Mount Road ATM,SATURDAY,NH,H,WHH,5,10,2011,548629.0,948000
1475,Mount Road ATM,SUNDAY,NH,H,HHW,5,10,2011,548629.0,628500
1480,Mount Road ATM,MONDAY,NH,W,HWW,5,10,2011,711229.0,665800
1485,Mount Road ATM,TUESDAY,NH,W,WWH,5,10,2011,711229.0,476100
1490,Mount Road ATM,WEDNESDAY,H,H,WHW,6,10,2011,711229.0,201600
1495,Mount Road ATM,THURSDAY,NH,W,HWW,6,10,2011,711229.0,457800
1500,Mount Road ATM,FRIDAY,NH,W,WWH,6,10,2011,711229.0,513700
1505,Mount Road ATM,SATURDAY,NH,H,WHH,6,10,2011,711229.0,436300
1510,Mount Road ATM,SUNDAY,NH,H,HHW,6,10,2011,711229.0,271500
1515,Mount Road ATM,MONDAY,NH,W,HWW,7,10,2011,431829.0,468600
1520,Mount Road ATM,TUESDAY,NH,W,WWW,1,11,2011,431829.0,501800
1525,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,11,2011,431829.0,900000
1530,Mount Road ATM,THURSDAY,NH,W,WWW,1,11,2011,431829.0,514100
1535,Mount Road ATM,FRIDAY,NH,W,WWH,1,11,2011,431829.0,436800
1540,Mount Road ATM,SATURDAY,NH,H,WHH,1,11,2011,431829.0,903100
1545,Mount Road ATM,SUNDAY,NH,H,HHH,2,11,2011,431829.0,528900
1550,Mount Road ATM,MONDAY,M,H,HHW,2,11,2011,607615.0,399200
1555,Mount Road ATM,TUESDAY,NH,W,HWW,2,11,2011,607615.0,585200
1560,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,11,2011,607615.0,645100
1565,Mount Road ATM,THURSDAY,NH,W,WWW,2,11,2011,607615.0,508400
1570,Mount Road ATM,FRIDAY,NH,W,WWH,3,11,2011,607615.0,526200
1574,Mount Road ATM,SATURDAY,NH,H,WHH,3,11,2011,607615.0,364400
1579,Mount Road ATM,SUNDAY,NH,H,HHW,3,11,2011,607615.0,319300
1584,Mount Road ATM,MONDAY,NH,W,HWW,3,11,2011,478258.0,530300
1589,Mount Road ATM,TUESDAY,NH,W,WWW,3,11,2011,478258.0,525900
1594,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,11,2011,478258.0,471000
1599,Mount Road ATM,THURSDAY,NH,W,WWW,4,11,2011,478258.0,340200
1604,Mount Road ATM,FRIDAY,NH,W,WWH,4,11,2011,478258.0,222400
1609,Mount Road ATM,SATURDAY,NH,H,WHH,4,11,2011,478258.0,386400
1614,Mount Road ATM,SUNDAY,NH,H,HHW,4,11,2011,478258.0,399200
1619,Mount Road ATM,MONDAY,NH,W,HWW,5,11,2011,410772.0,622800
1624,Mount Road ATM,TUESDAY,NH,W,WWW,5,11,2011,410772.0,311800
1629,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,11,2011,410772.0,521200
1634,Mount Road ATM,THURSDAY,NH,W,WWW,5,11,2011,410772.0,359700
